id,name,path,size,quickXorHash,sensitivityLabelId,sensitivityLabelName,createdDateTime,lastModifiedDateTime
013YKIC6DVIL6VPBAIS5KLMJCYCDUIJXRI,Compliance_Report_ISO9001_2022.pptx,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/01-CEO-Gesamtleitung-und-Strategie/Technologie-Softwareentwicklung/Compliance_Report_ISO9001_2022.pptx,124928,MSPU8PbhTTKEcHUukISjs1gjV94=,,,2022-06-08T22:14:00Z,2025-04-28T05:19:00Z
013YKIC6BLU2AYK66265KZSLOB6FIOAB5Z,Employee_Resume_Smith.docx,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/01-CEO-Gesamtleitung-und-Strategie/Technologie-Softwareentwicklung/Employee_Resume_Smith.docx,19678,5NVqSnHhbEXasIYK8yBV6HAedvY=,,Confidential \ All Employees,2012-10-14T23:03:00Z,2014-11-10T01:04:00Z
013YKIC6EWKQAVPS2QPBN3233MEXPXRURZ,Employee_Resume_Smith.pptx,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/01-CEO-Gesamtleitung-und-Strategie/Technologie-Softwareentwicklung/Employee_Resume_Smith.pptx,361472,I1eFO2ePs9e3C+qQJw6OvkQLSrs=,,,2023-12-31T13:49:00Z,2025-09-16T08:45:00Z
013YKIC6BWTBUKHGJCTBIYKY24Y2LXU5MN,Finance_Audit_2025_Q1.txt,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/01-CEO-Gesamtleitung-und-Strategie/Technologie-Softwareentwicklung/Finance_Audit_2025_Q1.txt,30762,wvzSBEkrMUQ9YUMVNHDwi0Ye9M0=,,,2017-01-07T00:03:00Z,2019-05-10T00:04:00Z
013YKIC6GZLXFJ3SZVMJOI3UZ6XQDT56HD,Finance_Audit_2025_Q2.docx,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/01-CEO-Gesamtleitung-und-Strategie/Technologie-Softwareentwicklung/Finance_Audit_2025_Q2.docx,19697,4K3nbAmtmY4dVKbx8pAklE+/CEo=,,Confidential \ All Employees,2023-03-10T23:49:00Z,2024-02-28T21:39:00Z
013YKIC6DLURIJTMV5BNLK26FZEKHJIR6X,IT_Ticket_TKT01234_Software.docx,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/01-CEO-Gesamtleitung-und-Strategie/Technologie-Softwareentwicklung/IT_Ticket_TKT01234_Software.docx,19810,6pnAd6eG0ZJzRtA72AQXMriWUws=,,Confidential \ All Employees,2024-12-08T09:55:00Z,2025-07-20T04:15:00Z
013YKIC6H4IR34PWLY4BIZHQEVKCOPWX4I,Meeting_Minutes_Board_2024-09-05.pptx,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/01-CEO-Gesamtleitung-und-Strategie/Technologie-Softwareentwicklung/Meeting_Minutes_Board_2024-09-05.pptx,504832,gynk/VtmSqkk9i5zRI0skwXL828=,,,2025-09-21T04:00:00Z,2026-05-27T21:11:00Z
013YKIC6EKYCUUOET4NBNJFRL5HKXQ5HOJ,Meeting_Minutes_Board_2024-09-05.txt,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/01-CEO-Gesamtleitung-und-Strategie/Technologie-Softwareentwicklung/Meeting_Minutes_Board_2024-09-05.txt,25613,TOYJmWMSs3ZeWZ4uj2Nj6EqOIc4=,,,2024-11-08T23:49:00Z,2025-02-02T21:39:00Z
013YKIC6HLPDTZED7ZYNP33PHFO6KKZ752,Project_KAM-Alpha_Specs.pdf,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/01-CEO-Gesamtleitung-und-Strategie/Technologie-Softwareentwicklung/Project_KAM-Alpha_Specs.pdf,472064,2BDS5vwuyTOvaFcFHJTxAuVgptU=,,,2022-06-22T14:00:00Z,2023-02-14T02:38:00Z
013YKIC6F2K6TYUDJIVNJLBDGW62SJ5QP5,Project_KAM-Gamma_Specs.docx,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/01-CEO-Gesamtleitung-und-Strategie/Technologie-Softwareentwicklung/Project_KAM-Gamma_Specs.docx,18434,j7ZMnRwZON1FAfSxG6/6nBSQRkg=,,Confidential \ All Employees,2017-04-17T22:14:00Z,2023-10-06T05:19:00Z
013YKIC6BADAAPAD7ZU5PL5FVSJFPSDAU3,Customer_CUST5005_Contract.docx,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/02-CFO-Finanzen-und-Controlling-Technologie-Cloud-und-Infrastruktur/Customer_CUST5005_Contract.docx,18843,mkbrrEAXFEVF8q13OH0tMCzoRYo=,,Confidential \ All Employees,2025-06-10T11:06:00Z,2025-09-02T19:09:00Z
013YKIC6GTNT4BU3VJWVN2LRBFVEOBP6PD,Sales_Forecast_Q1_2021.zip,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/01-CEO-Gesamtleitung-und-Strategie/Technologie-Softwareentwicklung/Sales_Forecast_Q1_2021.zip,953344,57y+3RzJ6YiZtY10vVhOBpHxcMk=,,,2020-03-23T16:14:00Z,2022-11-12T07:03:00Z
013YKIC6CZ5KQGV7TWVZNYVNKSWRZKGVLI,HR_Onboarding_EMP789_Schmidt.txt,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/02-CFO-Finanzen-und-Controlling-Technologie-Cloud-und-Infrastruktur/HR_Onboarding_EMP789_Schmidt.txt,3165,XH4Dh00OJTJr4a1y4h9PToizpzs=,,,2023-06-18T04:17:00Z,2025-03-26T01:08:00Z
013YKIC6AAPLSDKZCU4ZKJ66O4VPZUCPN6,Invoice_2022_3021.txt,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/02-CFO-Finanzen-und-Controlling-Technologie-Cloud-und-Infrastruktur/Invoice_2022_3021.txt,26714,g4uJKHQBUacGPWlvgklSa3b6w+I=,,,2022-09-03T20:32:00Z,2023-08-21T03:39:00Z
013YKIC6BDETUD7UCLNFKZXY32LEEZVYYM,Invoice_2024_1001.docx,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/02-CFO-Finanzen-und-Controlling-Technologie-Cloud-und-Infrastruktur/Invoice_2024_1001.docx,12070,+i1Vm2/35qD9FUQQYRqrtqh29Lg=,,Confidential \ All Employees,2023-02-08T17:07:00Z,2023-12-15T07:22:00Z
013YKIC6A7IVQPNQ3IEFIZGOYNBA2O26M4,Invoice_2024_1001.xlsx,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/02-CFO-Finanzen-und-Controlling-Technologie-Cloud-und-Infrastruktur/Invoice_2024_1001.xlsx,70656,SpLHAUJ4dLJraU9FT57VRajnBDA=,,,2018-09-14T05:01:00Z,2018-09-20T23:18:00Z
013YKIC6GY3ZGLUSZBZNM3Z2DVYADNZU2O,Meeting_Minutes_Board_2024-12-20.tar.gz,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/02-CFO-Finanzen-und-Controlling-Technologie-Cloud-und-Infrastruktur/Meeting_Minutes_Board_2024-12-20.tar.gz,475136,nX1S8z2ROqfPJPapETV5fX694IA=,,,2017-11-19T21:32:00Z,2019-09-18T03:39:00Z
013YKIC6CWQS63F2NTM5KZLIQ6JLBRKPFG,Project_KAM-Alpha_Scope.zip,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/02-CFO-Finanzen-und-Controlling-Technologie-Cloud-und-Infrastruktur/Project_KAM-Alpha_Scope.zip,951296,jHMh5hL/OgQXwgk1rsVkqIA4D/E=,,,2022-08-11T08:41:00Z,2024-02-02T23:51:00Z
013YKIC6BHJDPJ7MNZP5PJ3MRVMZUVU4Y3,Support_Case_CASE001_Low.docx,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/02-CFO-Finanzen-und-Controlling-Technologie-Cloud-und-Infrastruktur/Support_Case_CASE001_Low.docx,12192,6P6TUnpGsv30XksxtoOcMypJueg=,,Confidential \ All Employees,2019-09-05T03:21:00Z,2022-03-15T23:40:00Z
013YKIC6BCRXT2FHSJUBLLPILUSS5XVSBB,Project_OP-Sigma_Specs.zip,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/02-CFO-Finanzen-und-Controlling-Technologie-Cloud-und-Infrastruktur/Project_OP-Sigma_Specs.zip,680960,2eIbniwQMyPBqgZXN3fqQafDpSM=,,,2024-04-04T08:18:00Z,2024-05-24T12:21:00Z
013YKIC6CLFIFUBH3AQ5NK6BVOAR4YU4CC,Annual_Report_2024.txt,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/Facility-und-Workplace-Management/Annual_Report_2024.txt,32874,YgbeaIr6HQZCfxkK76OzMemr/So=,,,2019-04-18T22:19:00Z,2020-08-23T00:27:00Z
013YKIC6CTCPMHPU55E5ILUEZRF5MZOELK,Compliance_Report_SOX_2024.zip,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/Facility-und-Workplace-Management/Compliance_Report_SOX_2024.zip,346112,8I4FiC5xbPoQPIYmpIwUM8DE/GM=,,,2022-05-07T03:28:00Z,2024-02-07T20:22:00Z
013YKIC6G6B5K6RWBPLBI3GJT2BKVEPESN,Compliance_Report_SOX_2025.pdf,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/Facility-und-Workplace-Management/Compliance_Report_SOX_2025.pdf,351232,sg/lo3IjmO1UmqDIiBDZgNZ22tA=,,,2024-06-21T13:57:00Z,2024-10-10T13:29:00Z
013YKIC6HFB3Y5M4IX3ZK2TCHWYSUEXXEG,Customer_Contract.pdf,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/Facility-und-Workplace-Management/Customer_Contract.pdf,369664,clTnuG57ASqwn+LWFeocQl8U/Qg=,,,2016-02-03T07:08:00Z,2023-02-19T20:28:00Z
013YKIC6BEFSBRUGJ36FJ2645TNTLWUCAY,Customer_CUST3003_Contract.docx,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/Facility-und-Workplace-Management/Customer_CUST3003_Contract.docx,11822,MVLlMI4dHOSArV2nU8HHTZA+aUA=,,Confidential \ All Employees,2017-04-30T14:34:00Z,2022-10-23T03:58:00Z
013YKIC6DBU3H2KQL5QJOYLGQUASMV2PKA,Customer_Contract.txt,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/Facility-und-Workplace-Management/Customer_Contract.txt,30806,fSILdirxQk+wRE3Hl5aFTWjSFrY=,,,2023-07-26T08:48:00Z,2024-06-08T21:58:00Z
013YKIC6D7X5ZPCOQGBBL3DYPPTAUH3BVM,Employee_Resume_Smith.zip,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/Facility-und-Workplace-Management/Employee_Resume_Smith.zip,921600,FdYSZRkreqNg5iBfkN6aAV7143M=,,,2023-06-15T08:37:00Z,2024-03-07T14:18:00Z
013YKIC6DWDXHAQHHJ3RLYXGZAFGHRUSQD,Employee_Resume_Smith.xlsx,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/Facility-und-Workplace-Management/Employee_Resume_Smith.xlsx,135168,QzFB4Q4GKwHt1BEMg/lvpRWt0xM=,,,2023-08-31T05:49:00Z,2024-01-09T19:14:00Z
013YKIC6EQLTRDSNJHGVIKUAKDMWW73ECQ,Employee_Schmidt_John_Resume.xlsx,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/Facility-und-Workplace-Management/Employee_Schmidt_John_Resume.xlsx,101376,Z4lQKrbdFwIy+t5XCNIzs+pTDbo=,,,2019-04-18T22:19:00Z,2020-08-23T00:27:00Z
013YKIC6FH7JORN6PQOVOZBXHBS5KZ73QO,Employee_Schmidt_Laura_Resume.tar.gz,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/Facility-und-Workplace-Management/Employee_Schmidt_Laura_Resume.tar.gz,398336,3Rim5GKXA63eL32l8UgO7O5++70=,,,2023-08-31T05:49:00Z,2024-01-09T19:14:00Z
013YKIC6FUKT5LXXN3JVPYBLV2UIT7XOIQ,HR_Onboarding_EMP001_Weber.pdf,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/Facility-und-Workplace-Management/HR_Onboarding_EMP001_Weber.pdf,363520,sVLU+GM6cT9D7NoMvMvwh7QoZ+c=,,,2014-04-06T11:17:00Z,2017-07-04T13:23:00Z
013YKIC6AVS36ADUSFTNNZTXFXNNVEPD4A,HR_Onboarding_EMP045_Schulz.pptx,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/Facility-und-Workplace-Management/HR_Onboarding_EMP045_Schulz.pptx,139264,hGzoi4V1vXL71PtnP2DjhqfUMp8=,,,2015-11-25T16:07:00Z,2019-05-10T20:21:00Z
013YKIC6BLSETOVN22NVN3FQ2O6ZQQVEYZ,HR_Onboarding_EMP123_MÃ¼ller.docx,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/Facility-und-Workplace-Management/HR_Onboarding_EMP123_MÃ¼ller.docx,12384,dOy6DgiObwLWTjcuuumY2p9dQUs=,,Confidential \ All Employees,2020-04-16T09:44:00Z,2020-10-12T21:01:00Z
013YKIC6HDJD3TSYU6NZJYBOKZ5Z5DGKOQ,Invoice_2024_1001.docx,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/Facility-und-Workplace-Management/Invoice_2024_1001.docx,11213,ccfApAYXapAMBhX6FIb+//h5zxE=,,Confidential \ All Employees,2016-08-18T16:26:00Z,2023-07-09T08:19:00Z
013YKIC6BKUQL4MN5A6ZMJZF3SY3CYYAHP,Invoice_2024_1001.pdf,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/Facility-und-Workplace-Management/Invoice_2024_1001.pdf,307200,rF9ZdqCiMbDZb2tMKffbEud8qGA=,,,2024-07-08T01:48:00Z,2024-07-09T19:17:00Z
013YKIC6AETG6R7W72O5OIEGGDR7CHSGE3,Invoice_2024_1001.txt,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/Facility-und-Workplace-Management/Invoice_2024_1001.txt,33906,Dp7krlLQA2GIyYBb8gGtpO+u+ss=,,,2021-11-17T16:07:00Z,2023-06-27T20:21:00Z
013YKIC6HEROFGQSCSHNNIY6NTKD7DNXMG,Marketing_Campaign_BlackFriday_Jun.xlsx,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/Facility-und-Workplace-Management/Marketing_Campaign_BlackFriday_Jun.xlsx,34816,idDo6YSKZ+V5g9mqTZB0woNQToQ=,,,2016-02-03T07:08:00Z,2023-02-19T20:28:00Z
013YKIC6DH2AAZIWEKUFM3AKD3DCYDH3AA,Marketing_Campaign_NewYear_Jun.pptx,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/Facility-und-Workplace-Management/Marketing_Campaign_NewYear_Jun.pptx,252928,WFtjWqHMJ2LyGaHVxaqWxR3cTNY=,,,2021-12-28T16:18:00Z,2025-04-28T01:36:00Z
013YKIC6ANSXG5K33KGJMIFGXWEKXRY5IH,Marketing_Campaign_SpringSale_May.xlsx,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/Facility-und-Workplace-Management/Marketing_Campaign_SpringSale_May.xlsx,19456,bdE+KgApUHJ0+mclxmHiHdPcjVI=,,,2025-03-30T04:05:00Z,2025-05-04T09:18:00Z
013YKIC6BQFMNS55U3R5JKN5MMK67GW5DI,Project_KAM-Alpha_Scope.tar.gz,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/Facility-und-Workplace-Management/Project_KAM-Alpha_Scope.tar.gz,870400,oEeVoFjGxeKeqKAu8CraEqyzfbs=,,,2025-01-21T09:37:00Z,2025-02-07T14:18:00Z
013YKIC6CJMNOK3JTMCNNYBYV3RE6RB4R2,Project_KAM-Alpha_Scope.zip,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/Facility-und-Workplace-Management/Project_KAM-Alpha_Scope.zip,215040,Ubrhgg+tT6/NXU1yWnHryWFOwQw=,,,2017-09-10T23:56:00Z,2021-11-05T15:22:00Z
013YKIC6DCWICGDNHRJZNJVDTW25LWOPUB,RnD_Prototype_Titan_v1.0.txt,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/Facility-und-Workplace-Management/RnD_Prototype_Titan_v1.0.txt,30813,5amLS7iYURxXE70/8AeXhduKPIo=,,,2023-08-31T05:49:00Z,2024-01-09T19:14:00Z
013YKIC6E6HE4EGNIMMJIYEU5WSD6HH6C5,Salary_Overview_Admin_Mar.zip,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/Facility-und-Workplace-Management/Salary_Overview_Admin_Mar.zip,391168,nKwPW98/uNHkEekvVvdfV/KaTV8=,,,2024-03-23T04:28:00Z,2025-01-21T20:22:00Z
013YKIC6AON4ZJF72QF5M2FWOBVGE5YUZB,Support_Case_CASE999_Low.pptx,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/Facility-und-Workplace-Management/Support_Case_CASE999_Low.pptx,445440,nC/0AlIm0M0u8aYM8+52ehtHvWk=,,,2022-04-09T13:27:00Z,2025-01-10T21:16:00Z
013YKIC6GCP357ILHTVJI2BV77NZUVOBLC,Annual_Report_2024.pptx,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/02-CFO-Finanzen-und-Controlling/Finanzen-Finanzmanagement-Controlling/Annual_Report_2024.pptx,376832,A1VdlB5CxW2URUMov5emjdHec0g=,,,2016-05-29T17:40:00Z,2020-10-12T01:43:00Z
