"name";"dir";"extension";"size";"mtime_datetime";"ctime_datetime";"atime_datetime";"path_length";"path_depth";"owner"
"Training_Material_CyberSecurity_Beginner.zip";"C:\share\Job5\Abteilung-Project-Office\Abteilung-Project-Office-Betrieb-und-Projekte-Prozessmanagement\Accounting-Hauptbuch-Debitoren-Kreditoren-Steuer-2021\Procurement-Lieferantenmanagement-Zulieferer-Nord-GmbH-Rahmenvertraege\Datenschutz-DSGVO-Verzeichnis-Verarbeitungstaetigkeiten-Marketing-Dokumentation\Compliance-Audit-ISO-9001-2024-Nachweise-Korrekturmassnahmen-Dokumentation\QA-Automation-Testskripte-Regression-Regression-Suite\Product-Management-Produktstrategie-Roadmap-Backlog-API-Platform\Infrastructure-Services-Server-Storage-Netzwerke-Produktionsserver\Product-Management-Produktstrategie-Roadmap-Backlog-Standard-Edition";".zip";"1021952";"21.11.2020 05:41:00";"17.11.2016 08:00:00";"23.12.2020 13:58:00";"682";"13";""
"Finance_Audit_2025_Q3.zip";"C:\share\Job10\Team-UX-Lab\Sicherheit-IT-Security-Management";".zip";"1019904";"20.08.2023 01:01:00";"13.10.2022 20:11:00";"23.04.2024 05:17:00";"86";"5";""
"Invoice_2023_1400.tar.gz";"C:\share\Job8\Abteilung-DevOps\Finanzen-Finanzmanagement-Controlling";".gz";"1018880";"29.08.2014 02:00:00";"09.12.2013 17:35:00";"19.03.2020 23:08:00";"93";"5";""
"Project_OP-Delta_Specs.zip";"C:\share\Job8\Abteilung-UX-UI-Design\Vertrieb-und-Marketing-Kampagnen";".zip";"1017856";"12.09.2018 00:52:00";"31.12.2016 07:26:00";"10.03.2025 20:47:00";"96";"5";""
"Project_KAM-Gamma_Specs.zip";"C:\share\Job9\Team-Network\Betrieb-und-Projekte-Netzbetrieb";".zip";"1016832";"15.11.2023 18:13:00";"31.12.2022 02:30:00";"07.09.2025 01:46:00";"87";"5";""
"Sales_Forecast_Q2_2021.tar.gz";"C:\share\Job10\Team-QA-Automation\People-und-Culture-HR-Operations";".gz";"1016832";"20.11.2022 14:08:00";"31.07.2019 16:03:00";"26.04.2023 18:46:00";"96";"5";""
"Salary_Overview_Finance_Jul.tar.gz";"C:\share\Job2\ESG-und-Nachhaltigkeit\ESG-und-Nachhaltigkeit-Technologie-Network-Engineering\Product-Management-Produktstrategie-Roadmap-Backlog-Standard-Edition\Windows-Team-AD-M365-Endpoint-Management-M365-Tenant\Workforce-Management-Kapazitaetsplanung-Zeiterfassung\Sales-Operations-CRM-Kundenmanagement-Enterprise\QA-Automation-Testskripte-Regression-Smoke-Tests\Forschung-Recommendation-Engine-Versuchsreihe-Integrationstests-Messdaten-Auswertung\Legal-Review-Team-Vertragspruefung-Dokumentation-Dienstleistungsvertrag";".gz";"1016832";"30.09.2014 23:34:00";"25.09.2014 03:00:00";"29.04.2021 22:54:00";"557";"12";""
"Employee_Schmidt_Maria_Resume.tar.gz";"C:\share\Job1\06-CISO-Informationssicherheit\Technologie-Network-Engineering";".gz";"1015808";"14.10.2024 23:58:00";"25.05.2022 21:27:00";"15.10.2025 19:18:00";"113";"5";""
"Contract_Addendum_CNT001_R3.tar.gz";"C:\share\Job3\Bereich-IT-Security-Management\Bereich-IT-Security-Management-Technologie-IT-Operations";".gz";"1014784";"18.07.2021 02:15:00";"03.03.2017 00:15:00";"04.06.2025 18:56:00";"136";"5";""
"Contract_Addendum_CNT456_Final.zip";"C:\share\Job7\Abteilung-Security-Operations\Facility-und-Workplace-Management";".zip";"1014784";"24.02.2018 17:55:00";"17.02.2016 14:57:00";"04.02.2025 15:09:00";"112";"5";""
"Support_Case_CASE999_Low.zip";"C:\share\Job7\Abteilung-Solution-Architecture\Abteilung-Solution-Architecture-Betrieb-und-Projekte-Prozessmanagement\QA-Automation-Testskripte-Regression-Smoke-Tests\Archiv-Altdaten-2022-Quartal-Q3-Migration-Bereinigung\Campaign-Team-Kampagnenplanung-Medienmanagement-Summer-Campaign\Linux-Team-Serverbetrieb-Hardening-Ubuntu-Server\Qualitaetssicherung-ISO-27001-Zertifizierung-2020-Pruefberichte-Massnahmenkatalog\Risk-Management-Risikobewertung-Audits-Operational-Risk\Analytics-Team-Data-Visuals-Forecasting-Sales-Forecast";".zip";"1012736";"12.09.2015 15:53:00";"26.07.2013 13:20:00";"11.10.2017 07:51:00";"554";"12";""
"Project_KAM-Alpha_Scope.tar.gz";"C:\share\Job2\GB-Finanzen-und-Verwaltung\Technologie-IT-Operations";".gz";"1011712";"02.06.2023 09:31:00";"07.07.2022 11:47:00";"08.07.2023 13:38:00";"97";"5";""
"Compliance_Report_ISO27001_2024.tar.gz";"C:\share\Job2\ESG-und-Nachhaltigkeit\Betrieb-und-Projekte-Projektmanagement";".gz";"1011712";"21.03.2025 01:53:00";"14.10.2024 09:22:00";"05.09.2025 15:12:00";"114";"5";""
"Legal_Agreement_SOW_GlobalTech.tar.gz";"C:\share\Job8\Abteilung-Infrastructure-Services\Abteilung-Infrastructure-Services-People-und-Culture-Talent-Acquisition";".gz";"1011712";"16.06.2024 09:37:00";"20.11.2022 07:18:00";"27.10.2024 09:10:00";"157";"5";""
"Invoice_2024_1001.zip";"C:\share\Job2\Innovation-Lab\Kundenerlebnis-Customer-Support";".zip";"1010688";"27.06.2023 02:04:00";"30.04.2022 01:03:00";"25.08.2025 20:05:00";"82";"5";""
"Meeting_Minutes_Board_2024-09-05.zip";"C:\share\Job8\Abteilung-Infrastructure-Services\Betrieb-und-Projekte-Netzbetrieb";".zip";"1009664";"24.06.2024 12:41:00";"16.01.2022 09:57:00";"31.01.2025 15:33:00";"117";"5";""
"Customer_CUST7007_Contract.tar.gz";"C:\share\Job6\Abteilung-Workforce-Management\Abteilung-Workforce-Management-People-und-Culture-HR-Operations\HR-Services-Payroll-Administration-Vertragsmanagement-Vertrieb\IT-Helpdesk-Benutzersupport-Geraetemanagement-L3-Escalation\Recruiting-Ops-Interviewkoordination-Bewerbermanagement-Sales\Kundenprojekt-Schmidt-AG-Anforderungsanalyse-Konzeption-Umsetzung-Project-Kickoff";".gz";"1008640";"27.12.2019 19:37:00";"21.07.2019 05:22:00";"21.06.2022 05:59:00";"409";"9";""
"Finance_Audit_2024_Q4.tar.gz";"C:\share\Job5\Abteilung-Process-Automation\Betrieb-und-Projekte-Prozessmanagement";".gz";"1008640";"14.11.2022 04:34:00";"07.03.2022 06:38:00";"30.11.2022 11:14:00";"110";"5";""
"RnD_Prototype_Orion_v3.0.zip";"C:\share\Job4\Bereich-Talent-Acquisition\People-und-Culture-Talent-Acquisition";".zip";"1008640";"04.08.2023 10:28:00";"28.07.2023 02:00:00";"09.10.2024 04:35:00";"107";"5";""
"Support_Case_CASE999_High.zip";"C:\share\Job7\Abteilung-Data-Engineering\Abteilung-Data-Engineering-Finanzen-Rechnungswesen-und-Buchhaltung\Risk-Management-Risikobewertung-Audits-Financial-Risk\Lieferant-Hardware-Lieferant-AG-Rahmenvertrag-2022-Bestellungen-Lieferscheine-Rechnungen-Q1\Recruiting-Ops-Interviewkoordination-Bewerbermanagement-Sales\Service-Desk-Ticketmanagement-Troubleshooting-Security\Solution-Architecture-Systemlandschaften-Design-Cloud-Migration\IT-Projekt-Cloud-Migration-Phase-Go-Live-Technische-Spezifikation-Testing\QA-Automation-Testskripte-Regression-Regression-Suite\Brand-Management-Corporate-Design-Kommunikationsstrategie";".zip";"1007616";"27.02.2024 18:01:00";"20.04.2023 22:28:00";"07.07.2025 10:12:00";"650";"13";""
"Project_OP-Sigma_Specs.tar.gz";"C:\share\Job4\Bereich-Rechnungswesen\Bereich-Rechnungswesen-Finanzen-Rechnungswesen-und-Buchhaltung";".gz";"1006592";"25.03.2025 21:02:00";"21.10.2023 18:35:00";"17.06.2025 14:02:00";"129";"5";""
"Marketing_Campaign_NewYear_Aug.zip";"C:\share\Job2\GB-People-und-Culture\Finanzen-Finanzmanagement-Controlling";".zip";"1004544";"03.11.2023 19:05:00";"14.11.2021 16:24:00";"06.08.2025 12:04:00";"108";"5";""
"PurchaseOrder_PO9012.tar.gz";"C:\share\Job2\GB-Technologie\Vertrieb-und-Marketing-B2B-B2C-Kanaele";".gz";"1003520";"05.03.2025 10:21:00";"24.01.2022 09:23:00";"09.08.2025 06:22:00";"95";"5";""
"Finance_Audit_2025_Q2.tar.gz";"C:\share\Job6\Abteilung-Procurement\Abteilung-Procurement-Technologie-Cloud-und-Infrastruktur";".gz";"1002496";"17.03.2025 19:51:00";"05.03.2025 11:19:00";"04.08.2025 13:38:00";"122";"5";""
"Compliance_Report_GDPR_2025.zip";"C:\share\Job8\Abteilung-UX-UI-Design\Vertrieb-und-Marketing-Kampagnen";".zip";"1002496";"04.11.2014 19:42:00";"04.11.2011 09:55:00";"03.04.2024 17:08:00";"101";"5";""
"Customer_CUST1001_Contract.tar.gz";"C:\share\Job9\Team-Campaign\People-und-Culture-Talent-Acquisition";".gz";"1000448";"28.06.2024 23:25:00";"05.09.2023 09:07:00";"25.10.2025 08:35:00";"99";"5";""
"Project_KAM-Alpha_Scope.tar.gz";"C:\share\Job5\Bereich-Legal-Affairs\Data-und-Analytics-BI-KI-Governance";".gz";"1000448";"21.03.2019 01:52:00";"18.04.2016 13:17:00";"21.10.2023 01:00:00";"102";"5";""
"Invoice_2024_1001.tar.gz";"C:\share\Job10\Team-Training\Technologie-Network-Engineering";".gz";"1000448";"03.11.2023 05:26:00";"17.03.2022 00:40:00";"02.04.2024 03:21:00";"85";"5";""
"Meeting_Minutes_Board_2024-09-05.tar.gz";"C:\share\Job10\Team-UX-Lab\People-und-Culture-Learning-und-Development";".gz";"1000448";"18.11.2014 16:36:00";"18.11.2010 15:25:00";"13.02.2021 04:04:00";"110";"5";""
"Operations_SOP_SOP001.zip";"C:\share\Job1\02-CFO-Finanzen-und-Controlling\People-und-Culture-Talent-Acquisition";".zip";"1000448";"30.04.2021 06:57:00";"29.02.2016 04:13:00";"11.04.2024 05:01:00";"109";"5";""
"Project_KAM-Alpha_Scope.zip";"C:\share\Job4\Bereich-Rechnungswesen\People-und-Culture-Learning-und-Development";".zip";"999424";"20.10.2023 12:07:00";"16.08.2023 00:03:00";"01.11.2024 14:50:00";"108";"5";""
"Customer_CUST7007_Contract.zip";"C:\share\Job2\GB-Technologie\Vertrieb-und-Marketing-B2B-B2C-Kanaele";".zip";"998400";"20.11.2020 19:49:00";"26.03.2020 06:47:00";"07.03.2024 22:51:00";"98";"5";""
"HR_Onboarding_EMP123_Hoffmann.zip";"C:\share\Job4\Bereich-HR-Operations\Finanzen-Rechnungswesen-und-Buchhaltung";".zip";"998400";"23.05.2025 08:59:00";"14.12.2024 07:53:00";"24.05.2025 01:48:00";"109";"5";""
"Employee_Becker_Sophie_Resume.tar.gz";"C:\share\Job8\Abteilung-Incident-Response\Technologie-Cloud-und-Infrastruktur";".gz";"998400";"05.02.2023 16:13:00";"23.12.2022 06:04:00";"30.09.2023 10:50:00";"114";"5";""
"Customer_CUST1001_Contract.zip";"C:\share\Job8\Abteilung-Training-und-Awareness\Technologie-Network-Engineering";".zip";"998400";"30.11.2022 06:33:00";"13.10.2019 00:08:00";"12.07.2025 07:46:00";"109";"5";""
"RnD_Prototype_Orion_beta.zip";"C:\share\Job1\05-CHRO-Personal-und-Kultur\Betrieb-und-Projekte-Projektmanagement\Finance-Reporting-Team-Finanzberichte-Dashboards-FY-2024\Security-Operations-SIEM-Patchmanagement-Ueberwachung\Produktentwicklung-Economy-Line-Version-Sprint-05-Testberichte-Systemtests-Ergebnisse\CRM-Team-Datenpflege-Prozessoptimierung-Lead-Management\Finance-Reporting-Team-Finanzberichte-Dashboards-Q2-2024\Legal-Review-Team-Vertragspruefung-Dokumentation-Lizenzvertrag\QA-Testing-Qualitaetssicherung-Regression-Integrationstests\Office-Management-Organisation-Fuhrpark-Poststelle-Hamburg";".zip";"995328";"03.06.2024 05:15:00";"28.12.2022 20:20:00";"04.11.2025 00:41:00";"601";"13";""
"Budget_Plan_IT_FY2025.zip";"C:\share\Job4\Bereich-Vertragswesen\Bereich-Vertragswesen-People-und-Culture-Learning-und-Development\IT-Projekt-E-Commerce-Platform-Phase-Design-Phase-Technische-Spezifikation-Testing\Legal-Review-Team-Vertragspruefung-Dokumentation-NDA\Security-Operations-SIEM-Patchmanagement-Ueberwachung\Talent-Development-Schulungen-Onboarding-Coaching-Compliance-Schulung\Network-Team-Routing-Firewall-VPN-Internal-Network\Governance-Team-Richtlinien-Zertifizierungen-ISO-9001\Product-Management-Produktstrategie-Roadmap-Backlog-Standard-Edition";".zip";"995328";"08.08.2023 16:15:00";"30.07.2023 23:33:00";"27.04.2024 12:43:00";"561";"12";""
"Annual_Report_2024.zip";"C:\share\Job9\Team-Supplier-Management\Facility-und-Workplace-Management";".zip";"994304";"02.01.2025 15:53:00";"03.07.2024 13:20:00";"08.03.2025 07:51:00";"95";"5";""
"Legal_Agreement_SLA_GlobalTech.zip";"C:\share\Job6\Abteilung-Customer-Support\Betrieb-und-Projekte-Netzbetrieb\Sustainability-Team-Nachhaltigkeitsberichte-Umweltprojekte-Energieeffizienz\Infrastructure-Services-Server-Storage-Netzwerke-Produktionsserver\Brand-Management-Corporate-Design-Kommunikationsstrategie\QA-Testing-Qualitaetssicherung-Regression-UAT\Sustainability-Team-Nachhaltigkeitsberichte-Umweltprojekte-Kreislaufwirtschaft";".zip";"992256";"18.07.2023 00:10:00";"16.01.2023 05:24:00";"07.08.2023 20:40:00";"434";"10";""
"Budget_Plan_IT_FY2024.zip";"C:\share\Job3\GB-Kundenerlebnis-und-Support\Finanzen-Finanzmanagement-Controlling";".zip";"991232";"01.03.2025 04:20:00";"18.11.2022 16:09:00";"20.05.2025 08:19:00";"107";"5";""
"Finance_Audit_2025_Q2.tar.gz";"C:\share\Job9\Team-SOC\Team-SOC-People-und-Culture-Learning-und-Development";".gz";"991232";"06.12.2021 02:55:00";"19.12.2017 06:10:00";"12.01.2023 06:46:00";"104";"5";""
"IT_Ticket_TKT00456_Software.zip";"C:\share\Job8\Abteilung-DevOps\Finanzen-Vertragswesen-und-Einkauf";".zip";"991232";"19.03.2023 19:41:00";"09.02.2022 12:10:00";"28.03.2025 23:39:00";"97";"5";""
"PurchaseOrder_PO1001.tar.gz";"C:\share\Job3\GB-Sicherheit-und-Compliance\Finanzen-Finanzmanagement-Controlling";".gz";"990208";"27.10.2024 12:41:00";"19.08.2022 17:41:00";"22.05.2025 18:05:00";"108";"5";""
"Operations_SOP_SOP456.zip";"C:\share\Job7\Abteilung-Talent-Development\Abteilung-Talent-Development-Digital-Transformation-Prozessdigitalisierung";".zip";"989184";"12.03.2023 14:07:00";"01.10.2016 18:56:00";"09.06.2024 16:05:00";"143";"5";""
"Customer_CUST3003_Contract.tar.gz";"C:\share\Job8\Abteilung-Threat-Intelligence\Finanzen-Rechnungswesen-und-Buchhaltung";".gz";"989184";"05.10.2025 20:59:00";"01.06.2025 20:32:00";"08.10.2025 07:21:00";"117";"5";""
"HR_Onboarding_EMP456_Becker.zip";"C:\share\Job8\Abteilung-UX-UI-Design\Abteilung-UX-UI-Design-Vertrieb-und-Marketing-B2B-B2C-Kanaele";".zip";"989184";"04.02.2025 01:50:00";"08.11.2023 19:06:00";"10.11.2025 10:07:00";"130";"5";""
"PurchaseOrder_PO9012.tar.gz";"C:\share\Job9\Team-SOC\Team-SOC-Digital-Transformation-Prozessdigitalisierung";".gz";"988160";"13.02.2023 23:00:00";"31.07.2022 15:39:00";"02.11.2024 11:11:00";"105";"5";""
"Employee_Schneider_Felix_Resume.tar.gz";"C:\share\Job1\04-COO-Betrieb-und-Logistik\04-COO-Betrieb-und-Logistik-Technologie-Network-Engineering";".gz";"988160";"03.02.2018 09:41:00";"15.09.2017 18:01:00";"12.08.2022 13:38:00";"140";"5";""
"Project_KAM-Alpha_Scope.tar.gz";"C:\share\Job5\Bereich-Digital-Transformation\Bereich-Digital-Transformation-People-und-Culture-Talent-Acquisition";".gz";"987136";"13.09.2020 09:05:00";"27.01.2020 03:27:00";"19.04.2023 03:43:00";"144";"5";""
"Contract_Addendum_CNT001_R2.zip";"C:\share\Job3\GB-Sicherheit-und-Compliance\Technologie-IT-Operations\Workforce-Management-Kapazitaetsplanung-Zeiterfassung\IT-Helpdesk-Benutzersupport-Geraetemanagement-L2-Support\Solution-Architecture-Systemlandschaften-Design-Data-Warehouse\Application-Development-Premium-Serie-Sprint-Sprint-01\Sustainability-Team-Nachhaltigkeitsberichte-Umweltprojekte-Kreislaufwirtschaft\Sales-Operations-CRM-Kundenmanagement-SMB\Digital-Marketing-SEO-Social-Media-Produktlaunch-Q2-2024\Recruiting-Ops-Interviewkoordination-Bewerbermanagement-Finance";".zip";"986112";"16.08.2023 08:08:00";"09.12.2022 02:45:00";"17.01.2025 16:07:00";"571";"13";""
"Project_OP-Delta_Specs.zip";"C:\share\Job4\Bereich-Talent-Acquisition\People-und-Culture-Talent-Acquisition";".zip";"985088";"01.02.2023 05:35:00";"24.11.2021 12:29:00";"22.04.2025 17:26:00";"105";"5";""
"Invoice_2023_1001.zip";"C:\share\Job5\Bereich-Facility-und-Workplace\Bereich-Facility-und-Workplace-Finanzen-Rechnungswesen-und-Buchhaltung\Project-Office-INIT-KAM-456-Koordination-Reporting\Sustainability-Team-Nachhaltigkeitsberichte-Umweltprojekte-Energieeffizienz\Risk-Management-Risikobewertung-Audits-Cyber-Risk\Solution-Architecture-Systemlandschaften-Design-Cloud-Migration";".zip";"984064";"23.09.2012 02:42:00";"23.09.2011 10:53:00";"20.04.2016 18:44:00";"378";"9";""
"Training_Material_DataPrivacy_Intermediate.tar.gz";"C:\share\Job7\Abteilung-Talent-Development\Sicherheit-IT-Security-Management";".gz";"984064";"07.09.2025 05:37:00";"05.04.2025 10:30:00";"18.10.2025 02:02:00";"126";"5";""
"Salary_Overview_Marketing_Aug.zip";"C:\share\Job5\Bereich-Data-und-Analytics\Technologie-Softwareentwicklung\Forschung-Computer-Vision-Versuchsreihe-Performance-Tests-Messdaten-Auswertung\IT-Projekt-Data-Warehouse-Phase-Go-Live-Technische-Spezifikation-Staging\Training-Team-Trainingsprogramme-E-Learning-Onboarding-Program\Product-Owners-Backlogpflege-Sprintplanung-Sprint-02\Analytics-Team-Data-Visuals-Forecasting-Customer-Churn\Field-Operations-Ausseneinsaetze-Zentral-Q1\Product-Owners-Backlogpflege-Sprintplanung-Sprint-03\Product-Owners-Backlogpflege-Sprintplanung-Sprint-03";".zip";"983040";"04.05.2025 12:45:00";"25.01.2025 17:26:00";"14.10.2025 12:30:00";"579";"13";""
"Invoice_2024_1001.zip";"C:\share\Job10\Team-Sustainability\Finanzen-Finanzmanagement-Controlling";".zip";"983040";"21.01.2025 01:09:00";"23.12.2024 19:59:00";"18.10.2025 06:24:00";"94";"5";""
"Employee_Resume_Smith.tar.gz";"C:\share\Job3\Bereich-Cloud-und-Platform-Services\Bereich-Cloud-und-Platform-Services-Technologie-Cloud-und-Infrastruktur";".gz";"982016";"09.05.2024 11:10:00";"09.11.2022 13:08:00";"01.07.2024 16:25:00";"150";"5";""
"Meeting_Minutes_Board_2024-03-22.zip";"C:\share\Job5\Abteilung-Field-Operations\Abteilung-Field-Operations-Finanzen-Vertragswesen-und-Einkauf";".zip";"982016";"25.01.2026 12:51:00";"01.05.2025 00:24:00";"25.01.2026 18:24:00";"139";"5";""
"RnD_Prototype_Titan_alpha.tar.gz";"C:\share\Job8\Abteilung-Training-und-Awareness\Abteilung-Training-und-Awareness-Technologie-IT-Operations";".gz";"980992";"15.06.2024 23:49:00";"13.10.2022 11:40:00";"09.11.2025 17:42:00";"138";"5";""
"Sales_Forecast_Q4_2023.tar.gz";"C:\share\Job9\Team-Project-Control\Team-Project-Control-Finanzen-Finanzmanagement-Controlling\Security-Operations-SIEM-Patchmanagement-Ueberwachung\Cloud-Infrastructure-Azure-Team-2025-Projekte\Recruiting-Bewerbungsmanagement-Interviews-Software-Engineer-2025\Sales-Operations-CRM-Kundenmanagement-Healthcare";".gz";"978944";"08.10.2025 00:19:00";"01.06.2025 15:32:00";"28.10.2025 07:28:00";"338";"9";""
"Customer_Contract.tar.gz";"C:\share\Job6\Abteilung-Key-Account-Management\Finanzen-Rechnungswesen-und-Buchhaltung";".gz";"977920";"01.03.2025 23:42:00";"27.12.2022 15:49:00";"18.04.2025 12:59:00";"111";"5";""
"Operations_SOP_SOP001.tar.gz";"C:\share\Job1\03-CTO-Technologie-und-IT\Vertrieb-und-Marketing-B2B-B2C-Kanaele";".gz";"977920";"13.12.2022 12:33:00";"27.01.2022 03:59:00";"09.10.2024 06:40:00";"107";"5";""
"Meeting_Minutes_Team_2024-12-20.zip";"C:\share\Job10\Team-QA-Automation\Sicherheit-IT-Security-Management";".zip";"976896";"12.08.2023 18:15:00";"06.03.2023 11:36:00";"31.08.2025 05:56:00";"103";"5";""
"Invoice_2024_1001.zip";"C:\share\Job2\Unternehmensarchitektur\Unternehmensarchitektur-Finanzen-Vertragswesen-und-Einkauf";".zip";"976896";"16.03.2018 10:34:00";"15.10.2016 01:45:00";"04.03.2023 07:37:00";"118";"5";""
"IT_Ticket_TKT00456_Software.zip";"C:\share\Job1\03-CTO-Technologie-und-IT\03-CTO-Technologie-und-IT-Technologie-Cloud-und-Infrastruktur";".zip";"975872";"04.04.2024 14:54:00";"05.10.2023 20:40:00";"24.07.2024 00:53:00";"133";"5";""
"Finance_Audit_2023_Q3.zip";"C:\share\Job8\Abteilung-Product-Management\People-und-Culture-Learning-und-Development";".zip";"974848";"25.12.2021 23:49:00";"01.05.2020 13:34:00";"17.03.2023 15:01:00";"112";"5";""
"Operations_SOP_SOP123.tar.gz";"C:\share\Job6\Abteilung-Brand-Management\Abteilung-Brand-Management-Finanzen-Finanzmanagement-Controlling";".gz";"973824";"06.12.2021 02:55:00";"19.12.2017 06:10:00";"12.01.2023 06:46:00";"134";"5";""
"Project_KAM-Alpha_Scope.zip";"C:\share\Job10\Team-QA-Automation\Team-QA-Automation-Technologie-IT-Operations";".zip";"973824";"21.01.2024 11:36:00";"20.02.2022 01:48:00";"16.04.2024 05:42:00";"106";"5";""
"Training_Material_DataPrivacy_Intermediate.tar.gz";"C:\share\Job3\Bereich-Softwareentwicklung\People-und-Culture-HR-Operations";".gz";"972800";"08.10.2023 03:04:00";"03.08.2020 04:39:00";"30.05.2025 19:47:00";"124";"5";""
"Invoice_2025_5890.tar.gz";"C:\share\Job9\Team-DevOps\Betrieb-und-Projekte-Projektmanagement";".gz";"972800";"27.10.2023 15:33:00";"20.09.2020 20:11:00";"13.08.2024 15:06:00";"89";"5";""
"Employee_Resume_Smith.tar.gz";"C:\share\Job8\Abteilung-DevOps\Facility-und-Workplace-Management";".gz";"972800";"18.09.2021 22:49:00";"22.10.2020 06:21:00";"16.06.2024 02:03:00";"93";"5";""
